Rank,Domain,Banning Authority,Locale,Type of site,Subcategory,Date blocked
2,facebook.com,Office of the Prosecutor General,United States,Social Media,-,3/4/22
8,twitter.com,Office of the Prosecutor General,United States,Social Media,-,3/4/22
9,instagram.com,Office of the Prosecutor General,United States,Social Media,-,3/13/22
138,bbc.com,Office of the Prosecutor General,United Kingdom,News,Public Broadcaster,3/27/22
290,aol.com,Office of the Prosecutor General,United States,News,International News,5/20/22
320,npr.org,Office of the Prosecutor General,United States,News,Public Broadcaster,3/24/22
328,telegraph.co.uk,Office of the Prosecutor General,United Kingdom,News,International News,6/20/22
330,grammarly.com,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,8/6/22
370,pixabay.com,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,7/7/22
379,patreon.com,Office of the Prosecutor General,United States,Digital Resistance,Fundraising,8/6/22
545,mailchi.mp,Office of the Prosecutor General,Russia,News,Independent News,8/2/22
741,chess.com,Office of the Prosecutor General,United States,News,Specialist News,3/27/22
744,messenger.com,Office of the Prosecutor General,United States,Messaging,-,4/23/22
819,dw.com,Office of the Prosecutor General,Germany,News,Public Broadcaster,4/17/22
1303,infobae.com,Office of the Prosecutor General,Argentina,News,International News,8/3/22
1384,bild.de,Office of the Prosecutor General,Germany,News,Tabloid News,3/16/22
1463,euronews.com,Office of the Prosecutor General,France,News,International News,4/15/22
1607,hostinger.com,Office of the Prosecutor General,Lithuania,Digital Resistance,Ukraine Support Content,4/20/22
1722,welt.de,Office of the Prosecutor General,Germany,News,International News,9/7/22
2046,proton.me,Office of the Prosecutor General,Switzerland,Digital Resistance,Anti-censorship tools,7/28/22
2343,hrw.org,Office of the Prosecutor General,United States,Civil Society,Human Rights,3/27/22
2362,depositphotos.com,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,6/7/22
2682,pscp.tv,Office of the Prosecutor General,United States,Social Media,-,7/27/22
3098,oxu.az,Office of the Prosecutor General,Azerbaijan,News,International News,3/13/22
3226,yle.fi,Office of the Prosecutor General,Finland,News,Public Broadcaster,1/6/22
3325,rfi.fr,Office of the Prosecutor General,France,News,Public Broadcaster,3/27/22
3760,jooble.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/17/22
3891,ukr.net,Office of the Prosecutor General,Ukraine,News,News Aggregator,2/27/22
5068,pravda.com.ua,Office of the Prosecutor General,Ukraine,News,National News,3/27/22
5089,rferl.org,Office of the Prosecutor General,United States,News,Radio Free Europe/Radio Liberty,7/6/22
5360,delfi.lt,Office of the Prosecutor General,Lithuania,News,International News,3/13/22
5817,liveuamap.com,Office of the Prosecutor General,United States,News,International News,7/15/22
6647,is.fi,Office of the Prosecutor General,Finland,News,Tabloid News,3/27/22
6842,meduza.io,Office of the Prosecutor General,Latvia,News,Independent News,3/27/22
7321,unian.net,Office of the Prosecutor General,Ukraine,News,Domestic News Agency,3/19/22
9177,picuki.com,Office of the Prosecutor General,United States,Social Media,-,7/27/22
9228,hs.fi,Office of the Prosecutor General,Finland,News,International News,5/26/22
9266,in.gr,Office of the Prosecutor General,Greece,News,International News,3/22/22
9583,riseup.net,Office of the Prosecutor General,International,Digital Resistance,Activism,3/27/22
10490,obozrevatel.com,Office of the Prosecutor General,Ukraine,News,National News,4/17/22
10501,tsn.ua,Office of the Prosecutor General,Ukraine,News,TV Channel,4/17/22
10534,bigmir.net,Office of the Prosecutor General,Ukraine,News,News Aggregator,2/27/22
11411,korrespondent.net,Office of the Prosecutor General,Ukraine,News,National News,3/15/22
11582,censor.net,Office of the Prosecutor General,Ukraine,News,National News,4/19/22
11976,onlineradiobox.com,Office of the Prosecutor General,Poland,Internet Radio & Podcasts,Internet Radio,2/27/22
12026,radiopublic.com,Office of the Prosecutor General,United States,Internet Radio & Podcasts,Podcasts,7/27/22
12065,postimees.ee,Office of the Prosecutor General,Estonia,News,International News,3/27/22
12495,haqqin.az,Office of the Prosecutor General,Azerbaijan,News,Specialist News,3/16/22
12947,nv.ua,Office of the Prosecutor General,Ukraine,News,National News,3/16/22
13453,interfax.com.ua,Office of the Prosecutor General,Russia,News,International News Agency,3/27/22
13762,president.gov.ua,Office of the Prosecutor General,Ukraine,Government,Office of the President,5/19/22
13831,idealmedia.io,Office of the Prosecutor General,Ukraine,News,News Aggregator,4/20/22
14369,sakh.com,Office of the Prosecutor General,Russia,News,Local News,8/5/22
14442,pca.st,Office of the Prosecutor General,United States,Internet Radio & Podcasts,Podcasts,7/27/22
14651,liga.net,Office of the Prosecutor General,Ukraine,News,National News,3/16/22
14757,nitter.net,Office of the Prosecutor General,Finland,Social Media,-,8/2/22
14925,wikiart.org,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,4/22/22
16066,kaleido.ai,Office of the Prosecutor General,Austria,Digital Resistance,Ukraine Support Content,7/13/22
16407,bellingcat.com,Office of the Prosecutor General,International,Civil Society,Media - Investigations,3/27/22
16665,rbc.ua,Office of the Prosecutor General,Ukraine,News,National News,3/16/22
17844,meta.ua,Office of the Prosecutor General,Ukraine,News,National News,4/24/22
18424,svoboda.org,Office of the Prosecutor General,United States,News,Radio Free Europe/Radio Liberty,3/21/22
18604,politiken.dk,Office of the Prosecutor General,Denmark,News,International News,5/26/22
18619,leafletjs.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/31/22
19505,exler.ru,Office of the Prosecutor General,Russia,Blog,Critical content,5/17/22
20009,noxinfluencer.com,Office of the Prosecutor General,Hong Kong,Online Marketing,-,7/27/22
20034,polskieradio.pl,Office of the Prosecutor General,Poland,News,Public Broadcaster,4/17/22
