Rank,Domain,Banning Authority,Locale,Type of site,Subcategory,Date blocked
330,grammarly.com,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,8/6/22
370,pixabay.com,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,7/7/22
379,patreon.com,Office of the Prosecutor General,United States,Digital Resistance,Fundraising,8/6/22
1607,hostinger.com,Office of the Prosecutor General,Lithuania,Digital Resistance,Ukraine Support Content,4/20/22
2046,proton.me,Office of the Prosecutor General,Switzerland,Digital Resistance,Anti-censorship tools,7/28/22
2362,depositphotos.com,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,6/7/22
3760,jooble.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/17/22
9583,riseup.net,Office of the Prosecutor General,International,Digital Resistance,Activism,3/27/22
14925,wikiart.org,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,4/22/22
16066,kaleido.ai,Office of the Prosecutor General,Austria,Digital Resistance,Ukraine Support Content,7/13/22
18619,leafletjs.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/31/22
26798,mailtrap.io,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,3/23/22
28647,letyshops.com,Office of the Prosecutor General,Hungary,Digital Resistance,Ukraine Support Content,5/14/22
33259,hostinger.ru,Office of the Prosecutor General,Lithuania,Digital Resistance,Ukraine Support Content,3/30/22
41961,hyperhost.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,4/19/22
42414,tiu.ru,Office of the Prosecutor General,Russia,Digital Resistance,Ukraine Support Content,3/26/22
45496,me-qr.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/27/22
53026,rainviewer.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/16/22
58217,refactoring.guru,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,4/27/22
90251,bb4cd6.site,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/7/22
92383,meteoprog.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,2/27/22
94255,golden.com,Office of the Prosecutor General,United States,Digital Resistance,Research,3/17/22
125503,lankaweb.com,Office of the Prosecutor General,Sri Lanka,Digital Resistance,Critical Content,7/27/22
136217,kino-teatr.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/27/22
153425,collaborator.pro,Office of the Prosecutor General,Cyprus,Digital Resistance,Ukraine Support Content,4/15/22
159506,200rf.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,2/27/22
167715,russiawarcrimes.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,4/20/22
171717,fkiev.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Critical Content,7/27/22
182421,stalker2.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/31/22
188254,voxukraine.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Research,3/17/22
191498,httptoolkit.tech,Office of the Prosecutor General,Spain,Digital Resistance,Research,4/16/22
